发震时间(utc+8),经度,纬度,震级(M),震源深度(Km),震中位置,死亡人数,直接经济损（万元）
1974-01-16 00:12:00,104.1,32.9,5.7,18,四川南坪西南,0,3.5
1973-12-31 00:12:00,116.8,38.4,5.3,19,河北河间东,0,0
1973-09-09 00:12:00,100.1,31.6,5.8,32,四川省甘孜县,0,0
1973-08-16 00:12:00,101.2,23.1,6.3,7,云南普洱东南,1,204
1973-08-11 00:12:00,104.1,32.9,6.5,19,四川松潘东北,0,0
1973-08-02 00:12:00,104.6,27.9,5.4,--,云南彝良东北,12,0
1973-06-29 00:12:00,103.7,28.9,5.4,10,四川马边东,0,11.1
1973-06-16 00:12:00,95.8,37.6,5.1,--,青海北霍布逊湖北,0,1.3
1973-06-03 00:12:00,83.6,44.2,6,18,新疆精河东南,0,0
1973-06-02 00:12:00,98.5,24.9,5,--,云南腾冲附近,0,0
1973-05-08 00:12:00,104.2,33,5.1,--,四川南坪南,0,0
1973-04-22 00:12:00,104.2,27.7,5.1,--,云南彝良附近,2,0
1973-03-24 00:12:00,100,31.9,5.5,20,四川甘孜北,0,0
1973-03-22 00:12:00,100.9,22,5.5,10,云南景洪,0,0
1973-03-22 00:12:00,87.2,28.1,5.3,33,西藏定日南,0,0
1973-02-06 00:12:00,100.7,31.3,7.6,11,四川炉霍附近,2199,200000
1972-09-27 00:12:00,101.7,30.4,5.6,13,四川康定西北,0,25
1972-08-30 00:12:00,96.4,36.7,5.5,15,青海南霍布逊湖东,0,24.7
1972-08-27 00:12:00,100.5,22.8,5.4,25,云南普洱西南,0,0
1972-07-23 00:12:00,91.7,31.5,6,15,西藏那曲西,1,0
1972-04-09 00:12:00,84.8,42.3,5.6,30,新疆轮台东北,1,0
1972-04-08 00:12:00,101.8,29.6,5.2,28,四川康定西南,0,0
1972-01-23 00:12:00,102.6,23.5,5.6,6,云南石屏、红河间,3,0
1972-01-16 00:12:00,79,40.3,6.2,9,新疆柯坪南,0,0
1971-09-14 00:12:00,100.8,23,6.2,--,云南普洱西,0,0
1971-08-16 00:12:00,103.78,28.88,5.9,24,四川马边,10,0
1971-07-26 00:12:00,77.1,39.9,5.7,45,新疆伽师西克尔,1,0
1971-06-28 00:12:00,106.19,37.54,5.1,23,宁夏吴忠,0,20.5
1971-06-16 00:12:00,79.283,41.52,5.8,12,新疆乌什北,0,0
1971-04-28 00:12:00,101.1,23,6.7,15,云南普洱,2,839
1971-04-03 00:12:00,95.4,32.2,6.5,20,青海杂多东南,1,0
1971-03-24 00:12:00,98.1,35.5,6.3,13,青海玛多北,0,0
1971-03-23 00:12:00,79.3,41.4,6,0,新疆乌什北,0,0
1971-02-05 00:12:00,99.4,25.1,5.8,14,云南保山东,0,0
1970-12-03 00:12:00,105.583,35.93,5.5,27,宁夏西吉,117,50000
1970-11-08 00:12:00,101.4,32.15,5.5,50,四川壤塘东南,0,0
1970-09-05 00:12:00,101.33,32.15,5.5,20,四川壤塘东南,0,0
1970-07-31 00:12:00,103.73,28.63,5.4,44,四川雷波东北,0,26.4
1970-07-29 00:12:00,77.8,40.05,5.9,13,新疆巴楚西,0,2.5
